ID pvalue
GO:0001701 5.76510849484839e-07
GO:0045445 5.81342289990387e-07
GO:0051235 6.24325004587308e-07
GO:0032835 6.26603715344258e-07
GO:0051495 6.58588811985954e-07
GO:0001946 6.83007851051301e-07
GO:1903115 6.83058708525425e-07
GO:0030041 6.93357064696024e-07
GO:0042060 7.56849843801553e-07
GO:2000630 7.83228730152416e-07
GO:0043254 8.56236970638355e-07
GO:0070482 9.93727618016303e-07
GO:0055007 1.05355471099623e-06
GO:0016052 1.05453434183788e-06
GO:0007160 1.06300749960172e-06
GO:0001570 1.15281785127175e-06
GO:0007369 1.27675642469603e-06
GO:0061337 1.35021528097397e-06
GO:0072659 1.40493742017861e-06
GO:0051492 1.4122500640083e-06
GO:0007219 1.43178953877467e-06
GO:0061138 1.45621724250435e-06
GO:0034764 1.4829595047993e-06
GO:0086001 1.48801528915062e-06
GO:0001666 1.56511332692156e-06
GO:0033275 1.68200508999498e-06
GO:0008154 1.71302636107937e-06
GO:0036293 1.7855507605965e-06
GO:0007389 2.05222990696519e-06
GO:0036303 2.12195152177419e-06
GO:0051651 2.20711606053791e-06
GO:0003179 2.2229476240767e-06
GO:0051924 2.35689554065427e-06
GO:0051056 2.42185884788489e-06
GO:0003208 2.47220102422403e-06
GO:0043270 2.6388759808303e-06
GO:0010811 2.79556989085551e-06
GO:0072006 2.80399921898095e-06
GO:0045785 2.98457670494176e-06
GO:0003279 3.02362081453225e-06
GO:0001763 3.06589998143423e-06
GO:0001822 3.07946278656138e-06
GO:0019058 3.07946278656138e-06
GO:0051148 3.23933552269735e-06
GO:0030833 3.25719818874516e-06
GO:0001952 3.38302876760784e-06
GO:0046031 3.50773306869141e-06
GO:0072132 3.74884397425898e-06
GO:0086065 3.74884397425898e-06
GO:0034767 3.77282429602677e-06
GO:0014733 4.10988445773665e-06
GO:0030049 4.10988445773665e-06
GO:0003170 4.21754942679647e-06
GO:0016049 4.27675130838241e-06
GO:0016032 4.27701327235432e-06
GO:0014850 4.27839351480204e-06
GO:0010644 4.37099050634791e-06
GO:1901888 4.58388275464828e-06
